ID,Name,Description,Status,Priority,Automation Status,Preconditions,Test Steps (Steps),Test Steps (Results),Test Type,References
,,,,,,,Attempt to tap the sold-out event card,The event cannot be selected / tapping has no effect or shows a sold-out message,,
T028,Event catalog spans multiple categories with sufficient variety,"Verify the event catalog contains events across all 5 categories (Music, Theater, Comedy, Classical, Sports) so category filtering is meaningful.",Active,Medium,not_automated,User is on the Events list screen,"On the Events list, tap each category filter chip one by one","Each category (Music, Sports, Theater, Classical) shows at least 2 events",functional,None
,,,,,,,Verify the total event count across all categories is approximately 30,Scrolling through 'All' events shows a substantial catalog (approx. 30 events),,
T029,Event dates are relative and display as upcoming events,"Verify that event dates shown in the catalog are always in the future relative to the current date, confirming the app uses relative date generation.",Active,Low,not_automated,User is on the Events list screen,Open the Events list and note the dates shown on event cards,All event dates are in the future relative to today's date,functional,None
,,,,,,,Open Event Details for several events and check the date field,All event dates are upcoming; no past dates are shown,,
T005,Event details screen shows full event information and seating summary,"Verify that tapping an event card opens the Event Details screen with full description, venue, date/time, and a seating breakdown showing Standard count, VIP count, and remaining seats.",Active,High,not_automated,User is on the Events list screen,Tap any event card on the Events list,"Event Details screen opens showing category badge, event title, venue, date/time",functional,None
,,,,,,,Scroll to the 'ABOUT THIS EVENT' section,Event description text is displayed,,
,,,,,,,Scroll to the 'SEATING' section,"Seating summary shows Standard seat count, VIP seat count, and remaining seats (e.g. '4 of 4 left')",,
,,,,,,,Verify 'Select a Seat' button is present at the bottom,'Select a Seat' button is visible and tappable,,
T006,Seat selection map shows seats grouped by row with tier and availability,"Verify the seat map displays seats grouped by row, each seat showing its tier (Standard/VIP) and availability state, with a legend for Standard, VIP, Selected, and Booked states.",Active,High,not_automated,User has opened an event with available seats,"From Event Details, tap 'Select a Seat'","Seat Selection screen opens with event name, 'Select up to 10 seats.' note, STAGE label, and seat map",functional,None
,,,,,,,"Verify seats are grouped by row (Row A, B, C, etc.)",Each row is labeled and contains seat buttons with seat number,,
,,,,,,,Verify the seat legend is visible,"Legend shows Standard, VIP, Selected, and Booked indicators",,
,,,,,,,"Verify seat accessibility descriptions include tier and price (e.g. 'Seat A1, standard, available, $32')","Each seat button has a content-desc with seat id, tier, availability, and price",,
T007,Selecting a seat updates summary and enables Continue button,"Verify that tapping an available seat marks it as selected, shows a seat count and subtotal summary bar, and enables the Continue to Discount Code button.",Active,High,not_automated,User is on the Seat Selection screen with available seats,"On the Seat Selection screen, tap an available seat (e.g. Seat A1)",Seat A1 state changes to 'selected'; seat button shows selected styling,functional,None
,,,,,,,Verify the summary bar appears at the bottom,Summary shows '1 seat selected' and the correct price (e.g. '$32.00'),,
,,,,,,,Tap 'Continue' button,App navigates to the Discount Code screen,,
T008,Deselecting a seat removes it from selection and updates summary,"Verify that tapping a selected seat deselects it, removes it from the summary count, and updates the total price accordingly.",Active,Medium,not_automated,User is on the Seat Selection screen,"On the Seat Selection screen, tap an available seat to select it",Seat is marked as selected; summary shows '1 seat selected',functional,None
,,,,,,,Tap the same seat again to deselect it,Seat returns to 'available' state; summary bar disappears or shows '0 seats selected',,
,,,,,,,Verify the Continue button is disabled or not shown when no seats are selected,Continue button is not active without a seat selection,,
T009,Maximum 10 seats can be selected in a single booking,Verify that a guest can select up to 10 seats and cannot select an 11th seat in a single booking.,Active,Medium,not_automated,User is on the Seat Selection screen for an event with at least 11 available seats (e.g. Arena Anthems with 40 seats),"On the Seat Selection screen for an event with 10+ available seats, select 10 seats one by one",Each seat is marked selected; summary shows '10 seats selected' with total price,functional,None
,,,,,,,Attempt to tap an 11th available seat,The 11th seat cannot be selected; an error or limit message is shown (e.g. 'Maximum 10 seats reached'),,
,,,,,,,Verify the summary still shows 10 seats,Summary count remains at 10,,
T021,Booked seats are unavailable to other guests,Verify that seats already booked in a previous booking within the session appear as 'booked' (not available) on the seat map for the same event.,Active,High,not_automated,User has completed a booking for a specific seat in the current session,Book seat A1 for an event and complete the booking,Booking confirmed for seat A1,functional,None
,,,,,,,Navigate back to the same event and open seat selection,Seat map is displayed,,
,,,,,,,Verify seat A1 is shown as 'booked' and cannot be selected,Seat A1 content-desc shows 'booked' state; tapping it has no effect,,
T022,VIP seats are priced higher than Standard seats for the same event,"Verify that VIP-tier seats have a higher price than Standard-tier seats for the same event, as shown on the seat map and payment screen.",Active,Medium,not_automated,User is on the Seat Selection screen for an event with both VIP and Standard seats,Open an event that has both Standard and VIP seats (e.g. Arena Anthems),Seat map shows both VIP and Standard rows,functional,None
,,,,,,,Compare the price in the content-desc of a VIP seat vs a Standard seat,VIP seat price (e.g. $110) is higher than Standard seat price (e.g. $60),,
,,,,,,,Select a VIP seat and proceed to Payment,Payment screen shows VIP seat at the higher price,,
T010,Discount code screen is optional — skip to payment without a code,Verify that the Discount Code screen is optional and the guest can proceed directly to payment without entering any code.,Active,High,not_automated,User has selected at least one seat and reached the Discount Code screen,"On the Discount Code screen, do not enter any code",Screen shows 'Optional — you can skip this and continue to payment.' message,functional,None
,,,,,,,Tap 'Continue to Payment' without entering a code,App navigates to the Payment screen with full price (no discount applied),,
T011,Valid SAVE10 code applies 10% discount to Standard seats only,Verify that applying SAVE10 gives 10% off Standard-tier seats and does NOT discount VIP-tier seats in the same booking.,Active,High,not_automated,User has selected a Standard seat and a VIP seat and is on the Discount Code screen,"Select one Standard seat and one VIP seat for an event, proceed to Discount Code screen",Discount Code screen shows combined subtotal,functional,None
,,,,,,,Enter 'SAVE10' in the discount code field and tap Apply,Code is accepted; discount-applied label appears with Remove option,,
,,,,,,,Proceed to Payment screen,Standard seat price is reduced by 10%; VIP seat price is unchanged; discount row shows correct amount,,
T012,Valid FIRST20 code applies 20% discount to all seats on first booking only,"Verify FIRST20 gives 20% off any seat tier on the guest's first booking in a session, and is invalid on subsequent bookings.",Active,High,not_automated,Fresh session with no prior bookings,"On the first booking of a session, select a seat and proceed to Discount Code screen",Discount Code screen is displayed,functional,None
,,,,,,,Enter 'FIRST20' and tap Apply,Code is accepted; 20% discount is applied to all selected seats regardless of tier,,
,,,,,,,Complete the first booking,Booking confirmed with 20% discount applied,,
,,,,,,,"Start a second booking, select a seat, proceed to Discount Code screen",Discount Code screen is displayed,,
,,,,,,,Enter 'FIRST20' and tap Apply,Code is rejected with an inline error; no discount is applied,,
T013,Valid WELCOME15 code applies 15% discount from second booking onward (one-time use),"Verify WELCOME15 is invalid on the first booking, valid on the second booking, and invalid again after being used once.",Active,High,not_automated,Fresh session with no prior bookings,"On the first booking of a session, enter 'WELCOME15' on the Discount Code screen and tap Apply",Code is rejected with an inline error (not valid on first booking),functional,None
,,,,,,,Complete the first booking without a discount code,First booking confirmed,,
,,,,,,,"Start a second booking, select a seat, proceed to Discount Code screen",Discount Code screen is displayed,,
,,,,,,,Enter 'WELCOME15' and tap Apply,Code is accepted; 15% discount applied to all selected seats,,
,,,,,,,Complete the second booking,Second booking confirmed with 15% discount,,
,,,,,,,"Start a third booking, enter 'WELCOME15' and tap Apply",Code is rejected (already used once); no discount applied,,
T014,Invalid discount code shows inline error and does not block checkout,Verify that entering an invalid discount code shows an inline error message and the guest can still proceed to payment without the discount.,Active,High,not_automated,User has selected at least one seat and is on the Discount Code screen,"On the Discount Code screen, enter an invalid code (e.g. 'INVALID123') and tap Apply",An inline error message is displayed indicating the code is invalid,functional,None
,,,,,,,Verify the 'Continue to Payment' button is still accessible,'Continue to Payment' button remains enabled,,
,,,,,,,Tap 'Continue to Payment',App navigates to Payment screen with no discount applied; full price shown,,
T015,Discount code is matched case-insensitively,"Verify that discount codes are accepted regardless of letter case (e.g. 'save10', 'Save10', 'SAVE10' all work).",Active,Medium,not_automated,User has selected a Standard seat and is on the Discount Code screen,"On the Discount Code screen, enter 'save10' (lowercase) and tap Apply",Code is accepted and 10% discount is applied to Standard seats,functional,None
,,,,,,,Remove the code and enter 'Save10' (mixed case) and tap Apply,Code is accepted and 10% discount is applied to Standard seats,,
T023,SAVE10 does not discount VIP seats,Verify that applying SAVE10 to a booking with only VIP seats results in no discount being applied.,Active,High,not_automated,User has selected only VIP seat(s) and is on the Discount Code screen,Select a VIP seat for an event and proceed to the Discount Code screen,Discount Code screen shows VIP seat subtotal,functional,None
,,,,,,,Enter 'SAVE10' and tap Apply,Code is applied (accepted) but discount amount is $0 for VIP seats,,
,,,,,,,Proceed to Payment screen,Payment screen shows no discount row or $0 discount; Total equals Subtotal,,
T024,Applied discount code can be removed on the discount screen,"Verify that after applying a valid discount code, the guest can remove it using the 'Remove' button, restoring the original price.",Active,Medium,not_automated,User has applied a valid discount code on the Discount Code screen,"On the Discount Code screen, apply a valid code (e.g. SAVE10)",Code is applied; 'Remove' button appears next to the applied code label,functional,None
,,,,,,,Tap the 'Remove' button,Discount code is removed; input field is cleared; subtotal reverts to original price,,
,,,,,,,Verify the 'Apply' button is available again,Discount input field and Apply button are shown again,,
T030,FIRST20 rejected after first completed booking without a discount,"PRD footnote 2: FIRST20 is invalid after any first completed booking in the session, whether or not it was used on that booking. Covers the gap in T012, which uses FIRST20 on booking 1. Verify rejection and unchanged full price on booking 2 after booking 1 without entering any discount code.",Active,Medium,not_automated,"Documented fresh Encore guest session with zero completed bookings. Available Standard seats. Do not enter or apply any code on booking 1. Keep the same session across both bookings; do not restart, reinstall or clear data. Record base prices and confirmation IDs.","1. Select an available Standard seat, record its base price, skip the discount field without entering any code, and complete mocked payment. Expected: confirmation and My Bookings show the full price with no discount.",,Functional,None
,,,,,,,"2. Without restarting, start another booking with a different available Standard seat; record base price P. Expected: selected seat and subtotal match P.",,,
,,,,,,,3. Enter FIRST20 and tap Apply. Expected: code is rejected as ineligible with an inline error; no applied discount.,,,
,,,,,,,"4. Continue to payment. Expected: checkout remains available, discount is zero, total equals P (not 0.8 × P).",,,
,,,,,,,5. Complete mocked payment and open My Bookings. Expected: second booking is recorded at P; both confirmation IDs are present in the same session. Capture screenshots and actual results.,,,
T016,Payment screen shows correct order summary with discount,"Verify the Payment screen displays each selected seat with its price, subtotal, discount row (when applicable), and final total before confirming payment.",Active,High,not_automated,User has selected a seat with SAVE10 discount applied,"Select a Standard seat, apply SAVE10 discount, and proceed to Payment screen",Payment screen shows 'Review & Pay' heading,functional,None
,,,,,,,Verify event name and venue are displayed,Event title and venue name are shown in the seat summary section,,
,,,,,,,"Verify each seat line item shows seat id, tier, and discounted price",e.g. 'Seat A1 · Standard' with price after 10% discount,,
,,,,,,,"Verify the order totals section shows Subtotal, Discount (SAVE10) as negative amount, and Total",Subtotal = original price; Discount = -10% of Standard seats; Total = Subtotal - Discount,,
,,,,,,,Verify mock payment notice is shown,'This is a mock payment. No card details are collected.' text is visible,,
T017,Completing payment shows booking confirmation with all details,"Verify that tapping 'Pay Now' finalizes the booking and shows a Confirmation screen with confirmation number, event details, seat details, discount info, and total paid.",Active,High,not_automated,User has completed seat selection and is on the Payment screen,"On the Payment screen, tap 'Pay Now'",Processing indicator appears briefly,functional,None
,,,,,,,Wait for Confirmation screen to load,Confirmation screen shows '✓' icon and 'Booking Confirmed' heading,,
,,,,,,,Verify confirmation number is displayed (format BK-XXXXX),Confirmation number field shows a unique booking ID,,
,,,,,,,"Verify event title, venue, and date/time are shown",Event details match the booked event,,
,,,,,,,Verify each booked seat is listed with tier and price paid,"Seat line items show seat id, tier, and final price",,
,,,,,,,Verify discount code is shown if applied,'Discount applied: SAVE10' text is visible when a discount was used,,
,,,,,,,Verify Total Paid matches the payment screen total,Total Paid amount is correct,,
T025,Multi-seat booking with mixed tiers shows correct per-seat pricing on payment,Verify that selecting multiple seats of different tiers shows each seat's individual price on the Payment screen with correct subtotal and total.,Active,High,not_automated,User is on the Seat Selection screen for an event with both Standard and VIP seats,Select 2 Standard seats and 1 VIP seat for an event,Summary shows '3 seats selected' with combined total,functional,None
,,,,,,,Proceed through Discount Code (skip) to Payment screen,Payment screen lists each seat individually with its tier and price,,
,,,,,,,Verify Subtotal = sum of all seat prices,Subtotal matches the sum of Standard + VIP seat prices,,
,,,,,,,Verify Total = Subtotal (no discount),Total equals Subtotal when no discount is applied,,
T018,My Bookings shows all session bookings most recent first,"Verify the My Bookings screen lists all bookings made in the current session, most recent first, each showing event, seats, total price, and confirmation number.",Active,High,not_automated,User has completed at least one booking in the current session,"Complete at least one booking, then tap 'View My Bookings' on the Confirmation screen",My Bookings screen opens showing the completed booking,functional,None
,,,,,,,"Verify each booking entry shows event title, total price, venue, date/time, seat count, seat details, and confirmation number",All booking metadata is displayed correctly,,
,,,,,,,Complete a second booking and navigate to My Bookings,Both bookings are listed; most recent booking appears first,,
T019,My Bookings accessible from event list header,Verify the 'My Bookings' navigation button in the event list header navigates to the My Bookings screen.,Active,Medium,not_automated,User has completed at least one booking and is on the Events list screen,Complete a booking and navigate back to the Events list,Events list is displayed with 'My Bookings' button in the header,functional,None
,,,,,,,Tap 'My Bookings' button,My Bookings screen opens showing the completed booking(s),,
T026,Back navigation from Event Details returns to Event List,Verify that tapping the back/navigate-up button on the Event Details screen returns the user to the Event List.,Active,Medium,not_automated,User is on the Event Details screen,"From the Events list, tap an event card to open Event Details",Event Details screen is displayed,functional,None
,,,,,,,Tap the back/navigate-up button,App returns to the Events list screen with the same filter state,,
T027,Confirmation screen offers navigation to My Bookings and Back to Events,Verify the Booking Confirmation screen provides both 'View My Bookings' and 'Back to Events' navigation options.,Active,Medium,not_automated,User has completed a booking,Complete a booking and reach the Confirmation screen,Confirmation screen shows 'View My Bookings' and 'Back to Events' buttons,functional,None
,,,,,,,Tap 'Back to Events',App navigates to the Events list screen,,
,,,,,,,Complete another booking and tap 'View My Bookings' on the Confirmation screen,App navigates to the My Bookings screen showing the completed booking,,
